,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked
45,875,42.0,Travel_Frequently,1271.0,Research & Development,2.0,1.0,Medical,1.0,2.0,Male,35.0,3.0,1.0,Research Scientist,4.0,Single,2515.0,9068.0,5.0
46,377,28.0,Travel_Rarely,1158.0,Research & Development,9.0,3.0,Medical,1.0,4.0,Male,94.0,3.0,1.0,Research Scientist,4.0,Married,2070.0,2613.0,1.0
47,2025,36.0,Travel_Frequently,688.0,Research & Development,4.0,2.0,Life Sciences,1.0,4.0,Female,97.0,3.0,2.0,Manufacturing Director,2.0,Divorced,5131.0,9192.0,7.0
48,543,52.0,Travel_Rarely,319.0,Research & Development,3.0,3.0,Medical,1.0,4.0,Male,39.0,2.0,3.0,Manufacturing Director,3.0,Married,7969.0,19609.0,2.0
49,24,38.0,Travel_Rarely,371.0,Research & Development,2.0,3.0,Life Sciences,1.0,4.0,Male,45.0,3.0,1.0,Research Scientist,4.0,Single,3944.0,4306.0,5.0
50,1805,38.0,Non-Travel,1336.0,Human Resources,2.0,3.0,Human Resources,1.0,1.0,Male,100.0,3.0,1.0,Human Resources,2.0,Divorced,2592.0,7129.0,5.0
51,1239,40.0,Travel_Rarely,107.0,Sales,10.0,3.0,Technical Degree,1.0,2.0,Female,84.0,2.0,2.0,Sales Executive,2.0,Divorced,6852.0,11591.0,7.0
52,1641,40.0,Travel_Rarely,448.0,Research & Development,16.0,3.0,Life Sciences,1.0,3.0,Female,84.0,3.0,3.0,Manufacturing Director,4.0,Single,7945.0,19948.0,6.0
53,1443,47.0,Travel_Rarely,359.0,Research & Development,2.0,4.0,Medical,1.0,1.0,Female,82.0,3.0,4.0,Research Director,3.0,Married,17169.0,26703.0,3.0
54,970,37.0,Travel_Rarely,625.0,Sales,1.0,4.0,Life Sciences,1.0,1.0,Male,46.0,2.0,3.0,Sales Executive,3.0,Married,10609.0,14922.0,5.0
55,340,37.0,Travel_Rarely,1017.0,Research & Development,1.0,2.0,Medical,1.0,3.0,Female,83.0,2.0,1.0,Research Scientist,1.0,Married,3920.0,18697.0,2.0
56,1871,39.0,Travel_Rarely,835.0,Research & Development,19.0,4.0,Other,1.0,4.0,Male,41.0,3.0,2.0,Research Scientist,4.0,Divorced,3902.0,5141.0,8.0
57,1117,45.0,Non-Travel,1050.0,Sales,9.0,4.0,Life Sciences,1.0,2.0,Female,65.0,2.0,2.0,Sales Executive,3.0,Married,5593.0,17970.0,1.0
58,1464,31.0,Travel_Frequently,523.0,Research & Development,2.0,3.0,Life Sciences,1.0,2.0,Male,94.0,3.0,1.0,Laboratory Technician,4.0,Married,3722.0,21081.0,6.0
59,1941,49.0,Travel_Frequently,1064.0,Research & Development,2.0,1.0,Life Sciences,1.0,2.0,Male,42.0,3.0,5.0,Research Director,4.0,Married,19161.0,13738.0,3.0
60,1803,42.0,Travel_Rarely,1128.0,Research & Development,13.0,3.0,Medical,1.0,2.0,Male,95.0,4.0,2.0,Healthcare Representative,1.0,Married,5538.0,5696.0,5.0
61,450,54.0,Travel_Frequently,928.0,Research & Development,20.0,4.0,Life Sciences,1.0,4.0,Female,31.0,3.0,2.0,Research Scientist,3.0,Single,4869.0,16885.0,3.0
62,474,37.0,Travel_Rarely,1319.0,Research & Development,6.0,3.0,Medical,1.0,3.0,Male,51.0,4.0,2.0,Research Scientist,1.0,Divorced,5974.0,17001.0,4.0
63,827,42.0,Travel_Rarely,932.0,Research & Development,1.0,2.0,Life Sciences,1.0,4.0,Female,43.0,2.0,2.0,Manufacturing Director,4.0,Married,6062.0,4051.0,9.0
64,1677,49.0,Travel_Rarely,809.0,Research & Development,1.0,3.0,Life Sciences,1.0,3.0,Male,36.0,3.0,4.0,Manager,3.0,Single,15379.0,22384.0,4.0
65,1098,44.0,Travel_Rarely,1376.0,Human Resources,1.0,2.0,Medical,1.0,2.0,Male,91.0,2.0,3.0,Human Resources,1.0,Married,10482.0,2326.0,9.0
66,511,22.0,Travel_Rarely,253.0,Research & Development,11.0,3.0,Medical,1.0,1.0,Female,43.0,3.0,1.0,Research Scientist,2.0,Married,2244.0,24440.0,1.0
67,1612,45.0,Non-Travel,336.0,Sales,26.0,3.0,Marketing,1.0,1.0,Male,52.0,2.0,2.0,Sales Executive,1.0,Married,4385.0,24162.0,1.0
68,2061,36.0,Travel_Frequently,884.0,Research & Development,23.0,2.0,Medical,1.0,3.0,Male,41.0,4.0,2.0,Laboratory Technician,4.0,Married,2571.0,12290.0,4.0
69,372,45.0,Travel_Rarely,1385.0,Research & Development,20.0,2.0,Medical,1.0,3.0,Male,79.0,3.0,4.0,Healthcare Representative,4.0,Married,13496.0,7501.0,0.0
70,103,46.0,Travel_Rarely,945.0,Human Resources,5.0,2.0,Medical,1.0,2.0,Male,80.0,3.0,2.0,Human Resources,2.0,Divorced,5021.0,10425.0,8.0
71,819,33.0,Travel_Rarely,118.0,Sales,16.0,3.0,Marketing,1.0,1.0,Female,69.0,3.0,2.0,Sales Executive,1.0,Single,5324.0,26507.0,5.0
72,900,37.0,Travel_Frequently,1231.0,Sales,21.0,2.0,Medical,1.0,3.0,Female,54.0,3.0,1.0,Sales Representative,4.0,Married,2973.0,21222.0,5.0
73,1615,34.0,Travel_Frequently,426.0,Research & Development,10.0,4.0,Life Sciences,1.0,3.0,Male,42.0,4.0,2.0,Manufacturing Director,4.0,Divorced,4724.0,17000.0,1.0
74,1639,35.0,Travel_Rarely,737.0,Sales,10.0,3.0,Medical,1.0,4.0,Male,55.0,2.0,3.0,Sales Executive,1.0,Married,10306.0,21530.0,9.0
75,717,34.0,Travel_Rarely,1442.0,Research & Development,9.0,3.0,Medical,1.0,4.0,Female,46.0,2.0,3.0,Healthcare Representative,2.0,Single,8621.0,17654.0,1.0
76,1224,30.0,Travel_Rarely,853.0,Research & Development,7.0,4.0,Life Sciences,1.0,3.0,Male,49.0,3.0,2.0,Laboratory Technician,3.0,Divorced,3491.0,11309.0,1.0
77,1998,42.0,Travel_Rarely,557.0,Research & Development,18.0,4.0,Life Sciences,1.0,4.0,Male,35.0,3.0,2.0,Research Scientist,1.0,Divorced,5410.0,11189.0,6.0
78,1457,46.0,Travel_Rarely,377.0,Sales,9.0,3.0,Marketing,1.0,1.0,Male,52.0,3.0,3.0,Sales Executive,4.0,Divorced,10096.0,15986.0,4.0
79,1802,40.0,Travel_Rarely,616.0,Research & Development,2.0,2.0,Life Sciences,1.0,3.0,Female,99.0,3.0,1.0,Laboratory Technician,1.0,Married,3377.0,25605.0,4.0
80,558,40.0,Travel_Rarely,1398.0,Sales,2.0,4.0,Life Sciences,1.0,3.0,Female,79.0,3.0,5.0,Manager,3.0,Married,18041.0,13022.0,0.0
81,1311,30.0,Travel_Rarely,1138.0,Research & Development,6.0,3.0,Technical Degree,1.0,1.0,Female,48.0,2.0,2.0,Laboratory Technician,4.0,Married,4627.0,23631.0,0.0
82,1293,43.0,Travel_Rarely,531.0,Sales,4.0,4.0,Marketing,1.0,4.0,Female,56.0,2.0,3.0,Sales Executive,4.0,Single,10231.0,20364.0,3.0
83,1004,30.0,Travel_Rarely,138.0,Research & Development,22.0,3.0,Life Sciences,1.0,1.0,Female,48.0,3.0,1.0,Research Scientist,3.0,Married,2132.0,11539.0,4.0
84,1434,27.0,Travel_Rarely,1377.0,Research & Development,11.0,1.0,Life Sciences,1.0,2.0,Male,91.0,3.0,1.0,Laboratory Technician,1.0,Married,2099.0,7679.0,0.0
85,184,30.0,Travel_Rarely,1240.0,Human Resources,9.0,3.0,Human Resources,1.0,3.0,Male,48.0,3.0,2.0,Human Resources,4.0,Married,6347.0,13982.0,0.0
86,1163,34.0,Travel_Rarely,1400.0,Sales,9.0,1.0,Life Sciences,1.0,2.0,Female,70.0,3.0,2.0,Sales Executive,3.0,Married,5714.0,5829.0,1.0
87,451,43.0,Travel_Rarely,1001.0,Research & Development,7.0,3.0,Life Sciences,1.0,3.0,Female,43.0,3.0,3.0,Healthcare Representative,1.0,Married,9985.0,9262.0,8.0
88,1070,54.0,Travel_Rarely,1082.0,Sales,2.0,4.0,Life Sciences,1.0,3.0,Female,41.0,2.0,3.0,Sales Executive,3.0,Married,10686.0,8392.0,6.0
89,483,40.0,Travel_Rarely,1171.0,Research & Development,10.0,4.0,Life Sciences,1.0,4.0,Female,46.0,4.0,1.0,Laboratory Technician,3.0,Married,2213.0,22495.0,3.0
90,1954,29.0,Travel_Rarely,136.0,Research & Development,1.0,3.0,Life Sciences,1.0,1.0,Male,89.0,3.0,2.0,Healthcare Representative,1.0,Married,5373.0,6225.0,0.0
91,416,31.0,Travel_Rarely,218.0,Sales,7.0,3.0,Technical Degree,1.0,2.0,Male,100.0,4.0,2.0,Sales Executive,4.0,Married,6929.0,12241.0,4.0
92,374,55.0,Travel_Rarely,452.0,Research & Development,1.0,3.0,Medical,1.0,4.0,Male,81.0,3.0,5.0,Manager,1.0,Single,19045.0,18938.0,0.0
93,683,34.0,Travel_Rarely,1397.0,Research & Development,1.0,5.0,Life Sciences,1.0,2.0,Male,42.0,3.0,1.0,Research Scientist,4.0,Married,2691.0,7660.0,1.0
94,460,37.0,Travel_Rarely,1192.0,Research & Development,5.0,2.0,Medical,1.0,4.0,Male,61.0,3.0,2.0,Manufacturing Director,4.0,Divorced,6347.0,23177.0,7.0
95,314,35.0,Travel_Frequently,944.0,Sales,1.0,3.0,Marketing,1.0,3.0,Female,92.0,3.0,3.0,Sales Executive,3.0,Single,8789.0,9096.0,1.0
96,721,39.0,Travel_Rarely,408.0,Research & Development,2.0,4.0,Technical Degree,1.0,4.0,Female,80.0,2.0,2.0,Healthcare Representative,3.0,Single,4553.0,20978.0,1.0
97,139,37.0,Non-Travel,1040.0,Research & Development,2.0,2.0,Life Sciences,1.0,3.0,Male,100.0,2.0,2.0,Healthcare Representative,4.0,Divorced,5163.0,15850.0,5.0
98,1635,45.0,Travel_Rarely,1329.0,Research & Development,2.0,2.0,Other,1.0,4.0,Female,59.0,2.0,2.0,Manufacturing Director,4.0,Divorced,5770.0,5388.0,1.0
99,352,40.0,Travel_Rarely,1416.0,Research & Development,2.0,2.0,Medical,1.0,1.0,Male,49.0,3.0,5.0,Research Director,3.0,Divorced,19436.0,5949.0,0.0
100,580,46.0,Travel_Rarely,1125.0,Sales,10.0,3.0,Marketing,1.0,3.0,Female,94.0,2.0,3.0,Sales Executive,4.0,Married,9071.0,11563.0,2.0
101,1056,28.0,Travel_Rarely,1144.0,Sales,10.0,1.0,Medical,1.0,4.0,Male,74.0,3.0,1.0,Sales Representative,2.0,Married,1052.0,23384.0,1.0
102,388,29.0,Travel_Frequently,442.0,Sales,2.0,2.0,Life Sciences,1.0,2.0,Male,44.0,3.0,2.0,Sales Executive,4.0,Single,4554.0,20260.0,1.0
103,1556,36.0,Travel_Rarely,1157.0,Sales,2.0,4.0,Life Sciences,1.0,3.0,Male,70.0,3.0,1.0,Sales Representative,4.0,Single,2644.0,17001.0,3.0
104,194,30.0,Travel_Rarely,438.0,Research & Development,18.0,3.0,Life Sciences,1.0,1.0,Female,75.0,3.0,1.0,Research Scientist,3.0,Single,2632.0,23910.0,1.0
105,305,33.0,Travel_Rarely,147.0,Research & Development,4.0,4.0,Medical,1.0,3.0,Female,47.0,2.0,1.0,Research Scientist,2.0,Married,2622.0,13248.0,6.0
106,246,31.0,Travel_Rarely,140.0,Research & Development,12.0,1.0,Medical,1.0,3.0,Female,95.0,3.0,1.0,Research Scientist,4.0,Married,3929.0,6984.0,8.0
107,1714,24.0,Travel_Rarely,240.0,Human Resources,22.0,1.0,Human Resources,1.0,4.0,Male,58.0,1.0,1.0,Human Resources,3.0,Married,1555.0,11585.0,1.0
108,820,47.0,Travel_Rarely,202.0,Research & Development,2.0,2.0,Other,1.0,3.0,Female,33.0,3.0,4.0,Manager,4.0,Married,16752.0,12982.0,1.0
109,1850,27.0,Travel_Frequently,1297.0,Research & Development,5.0,2.0,Life Sciences,1.0,4.0,Female,53.0,3.0,1.0,Laboratory Technician,4.0,Single,2379.0,19826.0,0.0
110,1647,27.0,Travel_Rarely,486.0,Research & Development,8.0,3.0,Medical,1.0,2.0,Female,86.0,4.0,1.0,Research Scientist,3.0,Married,3517.0,22490.0,7.0
111,1955,32.0,Non-Travel,1146.0,Research & Development,15.0,4.0,Medical,1.0,3.0,Female,34.0,3.0,2.0,Healthcare Representative,4.0,Divorced,6667.0,16542.0,5.0
112,1228,46.0,Travel_Rarely,150.0,Research & Development,2.0,4.0,Technical Degree,1.0,4.0,Male,60.0,3.0,2.0,Manufacturing Director,4.0,Divorced,7379.0,17433.0,2.0
113,1961,38.0,Travel_Rarely,1404.0,Sales,1.0,3.0,Life Sciences,1.0,1.0,Male,59.0,2.0,1.0,Sales Representative,1.0,Single,2858.0,11473.0,4.0
114,1678,41.0,Travel_Rarely,1206.0,Sales,23.0,2.0,Life Sciences,1.0,4.0,Male,80.0,3.0,3.0,Sales Executive,3.0,Single,7082.0,11591.0,3.0
115,1875,28.0,Travel_Rarely,1172.0,Sales,3.0,3.0,Medical,1.0,2.0,Female,78.0,3.0,1.0,Sales Representative,2.0,Married,2856.0,3692.0,1.0
116,1981,24.0,Travel_Rarely,771.0,Research & Development,1.0,2.0,Life Sciences,1.0,2.0,Male,45.0,2.0,2.0,Healthcare Representative,3.0,Single,4617.0,14120.0,1.0
117,2060,26.0,Travel_Rarely,1167.0,Sales,5.0,3.0,Other,1.0,4.0,Female,30.0,2.0,1.0,Sales Representative,3.0,Single,2966.0,21378.0,0.0
118,1544,29.0,Travel_Rarely,441.0,Research & Development,8.0,1.0,Other,1.0,3.0,Female,39.0,1.0,2.0,Healthcare Representative,1.0,Married,9715.0,7288.0,3.0
119,1033,37.0,Travel_Rarely,1141.0,Research & Development,11.0,2.0,Medical,1.0,1.0,Female,61.0,1.0,2.0,Healthcare Representative,2.0,Married,4777.0,14382.0,5.0
120,1032,59.0,Travel_Rarely,715.0,Research & Development,2.0,3.0,Life Sciences,1.0,3.0,Female,69.0,2.0,4.0,Manufacturing Director,4.0,Single,13726.0,21829.0,3.0
121,527,25.0,Travel_Rarely,891.0,Sales,4.0,2.0,Life Sciences,1.0,2.0,Female,99.0,2.0,2.0,Sales Executive,4.0,Single,4487.0,12090.0,1.0
122,1336,55.0,Travel_Rarely,282.0,Research & Development,2.0,2.0,Medical,1.0,4.0,Female,58.0,1.0,5.0,Manager,3.0,Married,19187.0,6992.0,4.0
123,924,36.0,Travel_Rarely,1425.0,Research & Development,14.0,1.0,Life Sciences,1.0,3.0,Male,68.0,3.0,2.0,Healthcare Representative,4.0,Married,6586.0,4821.0,0.0
124,507,24.0,Travel_Rarely,1371.0,Sales,10.0,4.0,Marketing,1.0,4.0,Female,77.0,3.0,2.0,Sales Executive,3.0,Divorced,4260.0,5915.0,1.0
125,1627,39.0,Travel_Rarely,170.0,Research & Development,3.0,2.0,Medical,1.0,3.0,Male,76.0,2.0,2.0,Laboratory Technician,3.0,Divorced,3069.0,10302.0,0.0
126,758,23.0,Travel_Rarely,650.0,Research & Development,9.0,1.0,Medical,1.0,2.0,Male,37.0,3.0,1.0,Laboratory Technician,1.0,Married,2500.0,4344.0,1.0
127,1243,35.0,Non-Travel,1212.0,Sales,8.0,2.0,Marketing,1.0,3.0,Female,78.0,2.0,3.0,Sales Executive,4.0,Married,10377.0,13755.0,4.0
128,124,46.0,Travel_Frequently,638.0,Research & Development,1.0,3.0,Medical,1.0,3.0,Male,40.0,2.0,3.0,Healthcare Representative,1.0,Married,10673.0,3142.0,2.0
129,1441,56.0,Travel_Rarely,1255.0,Research & Development,1.0,2.0,Life Sciences,1.0,1.0,Female,90.0,3.0,1.0,Research Scientist,1.0,Married,2066.0,10494.0,2.0
130,1267,44.0,Travel_Rarely,1099.0,Sales,5.0,3.0,Marketing,1.0,2.0,Male,88.0,3.0,5.0,Manager,2.0,Married,18213.0,8751.0,7.0
131,895,31.0,Travel_Rarely,1222.0,Research & Development,11.0,4.0,Life Sciences,1.0,4.0,Male,48.0,3.0,1.0,Research Scientist,4.0,Married,2356.0,14871.0,3.0
132,487,46.0,Non-Travel,1144.0,Research & Development,7.0,4.0,Medical,1.0,3.0,Female,30.0,3.0,2.0,Manufacturing Director,3.0,Married,5258.0,16044.0,2.0
133,1162,27.0,Travel_Rarely,199.0,Research & Development,6.0,3.0,Life Sciences,1.0,4.0,Male,55.0,2.0,1.0,Research Scientist,3.0,Married,2539.0,7950.0,1.0
134,2014,39.0,Travel_Rarely,116.0,Research & Development,24.0,1.0,Life Sciences,1.0,1.0,Male,52.0,3.0,2.0,Research Scientist,4.0,Single,4108.0,5340.0,7.0
135,692,33.0,Travel_Frequently,1296.0,Research & Development,6.0,3.0,Life Sciences,1.0,3.0,Male,30.0,3.0,2.0,Healthcare Representative,4.0,Divorced,7725.0,5335.0,3.0
136,1783,22.0,Travel_Rarely,1294.0,Research & Development,8.0,1.0,Medical,1.0,3.0,Female,79.0,3.0,1.0,Laboratory Technician,1.0,Married,2398.0,15999.0,1.0
137,1077,20.0,Travel_Frequently,769.0,Sales,9.0,3.0,Marketing,1.0,4.0,Female,54.0,3.0,1.0,Sales Representative,4.0,Single,2323.0,17205.0,1.0
138,96,32.0,Travel_Rarely,548.0,Research & Development,1.0,3.0,Life Sciences,1.0,2.0,Male,66.0,3.0,2.0,Research Scientist,2.0,Married,6220.0,7346.0,1.0
139,455,29.0,Travel_Rarely,738.0,Research & Development,9.0,5.0,Other,1.0,2.0,Male,30.0,2.0,1.0,Laboratory Technician,4.0,Single,3983.0,7621.0,0.0
140,836,42.0,Travel_Rarely,933.0,Research & Development,29.0,3.0,Life Sciences,1.0,2.0,Male,98.0,3.0,2.0,Manufacturing Director,2.0,Married,4434.0,11806.0,1.0
141,775,34.0,Travel_Rarely,167.0,Research & Development,8.0,5.0,Life Sciences,1.0,2.0,Female,32.0,3.0,2.0,Manufacturing Director,1.0,Divorced,5121.0,4187.0,3.0
142,1425,36.0,Travel_Rarely,1174.0,Sales,3.0,4.0,Marketing,1.0,1.0,Female,99.0,3.0,2.0,Sales Executive,2.0,Single,9278.0,20763.0,3.0
143,498,28.0,Travel_Rarely,304.0,Sales,9.0,4.0,Life Sciences,1.0,2.0,Male,92.0,3.0,2.0,Sales Executive,4.0,Single,5253.0,20750.0,1.0
144,36,44.0,Travel_Rarely,477.0,Research & Development,7.0,4.0,Medical,1.0,1.0,Female,42.0,2.0,3.0,Healthcare Representative,4.0,Married,10248.0,2094.0,3.0
145,1362,36.0,Travel_Frequently,607.0,Sales,7.0,3.0,Marketing,1.0,1.0,Female,83.0,4.0,2.0,Sales Executive,1.0,Married,4639.0,2261.0,2.0
146,1669,29.0,Travel_Rarely,991.0,Sales,5.0,3.0,Medical,1.0,1.0,Male,43.0,2.0,2.0,Sales Executive,2.0,Divorced,4187.0,3356.0,1.0
