,EmployeeNumber,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,YearlyIncome
63,827,Y,Yes,13.0,3.0,4.0,80.0,1.0,8.0,4.0,3.0,4.0,3.0,0.0,2.0,72744.0
64,1677,Y,No,14.0,3.0,1.0,80.0,0.0,23.0,2.0,3.0,8.0,7.0,0.0,0.0,184548.0
65,1098,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,1.0,3.0,20.0,6.0,3.0,6.0,125784.0
66,511,Y,No,13.0,3.0,4.0,80.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,26928.0
67,1612,Y,No,15.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,7.0,4.0,5.0,52620.0
68,2061,Y,No,17.0,3.0,3.0,80.0,1.0,17.0,3.0,3.0,5.0,2.0,0.0,3.0,30852.0
69,372,Y,Yes,14.0,3.0,2.0,80.0,0.0,21.0,2.0,3.0,20.0,7.0,4.0,10.0,161952.0
70,103,Y,Yes,22.0,4.0,4.0,80.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0,60252.0
71,819,Y,No,15.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,0.0,2.0,63888.0
72,900,Y,No,15.0,3.0,2.0,80.0,1.0,10.0,3.0,3.0,5.0,4.0,0.0,0.0,35676.0
73,1615,Y,No,13.0,3.0,1.0,80.0,1.0,9.0,3.0,3.0,9.0,7.0,7.0,2.0,56688.0
74,1639,Y,No,17.0,3.0,3.0,80.0,0.0,15.0,3.0,3.0,13.0,12.0,6.0,0.0,123672.0
75,717,Y,No,14.0,3.0,2.0,80.0,0.0,9.0,3.0,4.0,8.0,7.0,7.0,7.0,103452.0
76,1224,Y,No,13.0,3.0,1.0,80.0,3.0,10.0,4.0,2.0,10.0,7.0,8.0,9.0,41892.0
77,1998,Y,Yes,17.0,3.0,3.0,80.0,1.0,9.0,3.0,2.0,4.0,3.0,1.0,2.0,64920.0
78,1457,Y,No,11.0,3.0,1.0,80.0,1.0,28.0,1.0,4.0,7.0,7.0,4.0,3.0,121152.0
79,1802,Y,No,17.0,3.0,4.0,80.0,1.0,7.0,5.0,2.0,4.0,3.0,0.0,2.0,40524.0
80,558,Y,No,14.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,20.0,15.0,1.0,12.0,216492.0
81,1311,Y,No,12.0,3.0,1.0,80.0,1.0,10.0,6.0,3.0,9.0,2.0,6.0,7.0,55524.0
82,1293,Y,No,14.0,3.0,4.0,80.0,0.0,23.0,3.0,4.0,21.0,7.0,15.0,17.0,122772.0
83,1004,Y,Yes,11.0,3.0,2.0,80.0,0.0,7.0,2.0,3.0,5.0,2.0,0.0,1.0,25584.0
84,1434,Y,No,14.0,3.0,2.0,80.0,0.0,6.0,3.0,4.0,5.0,0.0,1.0,4.0,25188.0
85,184,Y,Yes,19.0,3.0,4.0,80.0,0.0,12.0,2.0,1.0,11.0,9.0,4.0,7.0,76164.0
86,1163,Y,No,20.0,4.0,1.0,80.0,0.0,6.0,3.0,2.0,6.0,5.0,1.0,3.0,68568.0
87,451,Y,No,16.0,3.0,1.0,80.0,1.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,119820.0
88,1070,Y,No,11.0,3.0,2.0,80.0,1.0,13.0,4.0,3.0,9.0,4.0,7.0,0.0,128232.0
89,483,Y,Yes,13.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,7.0,7.0,1.0,7.0,26556.0
90,1954,Y,No,12.0,3.0,1.0,80.0,1.0,6.0,5.0,2.0,5.0,3.0,0.0,2.0,64476.0
91,416,Y,No,11.0,3.0,2.0,80.0,1.0,10.0,3.0,2.0,8.0,7.0,7.0,7.0,83148.0
92,374,Y,Yes,14.0,3.0,3.0,80.0,0.0,37.0,2.0,3.0,36.0,10.0,4.0,13.0,228540.0
93,683,Y,No,12.0,3.0,4.0,80.0,1.0,10.0,4.0,2.0,10.0,9.0,8.0,8.0,32292.0
94,460,Y,No,16.0,3.0,3.0,80.0,2.0,8.0,2.0,2.0,6.0,2.0,0.0,4.0,76164.0
95,314,Y,No,14.0,3.0,1.0,80.0,0.0,10.0,3.0,4.0,10.0,7.0,0.0,8.0,105468.0
96,721,Y,No,11.0,3.0,1.0,80.0,0.0,20.0,4.0,3.0,20.0,7.0,11.0,10.0,54636.0
97,139,Y,No,14.0,3.0,4.0,80.0,1.0,17.0,2.0,4.0,1.0,0.0,0.0,0.0,61956.0
98,1635,Y,No,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,10.0,7.0,3.0,9.0,69240.0
99,352,Y,No,19.0,3.0,4.0,80.0,1.0,22.0,5.0,3.0,21.0,7.0,3.0,9.0,233232.0
100,580,Y,Yes,19.0,3.0,3.0,80.0,1.0,15.0,3.0,3.0,3.0,2.0,1.0,2.0,108852.0
101,1056,Y,No,22.0,4.0,2.0,80.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,12624.0
102,388,Y,No,18.0,3.0,1.0,80.0,0.0,10.0,3.0,2.0,10.0,7.0,0.0,9.0,54648.0
103,1556,Y,Yes,21.0,4.0,4.0,80.0,0.0,7.0,3.0,2.0,3.0,2.0,1.0,2.0,31728.0
104,194,Y,No,14.0,3.0,3.0,80.0,0.0,5.0,4.0,2.0,5.0,4.0,0.0,4.0,31584.0
105,305,Y,No,21.0,4.0,4.0,80.0,0.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,31464.0
106,246,Y,Yes,23.0,4.0,3.0,80.0,1.0,7.0,0.0,3.0,4.0,2.0,0.0,2.0,47148.0
107,1714,Y,No,11.0,3.0,3.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,18660.0
108,820,Y,Yes,11.0,3.0,3.0,80.0,1.0,26.0,3.0,2.0,26.0,14.0,3.0,0.0,201024.0
109,1850,Y,Yes,14.0,3.0,3.0,80.0,0.0,6.0,3.0,2.0,5.0,4.0,0.0,2.0,28548.0
110,1647,Y,No,17.0,3.0,1.0,80.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,2.0,42204.0
111,1955,Y,No,18.0,3.0,2.0,80.0,1.0,9.0,6.0,3.0,5.0,1.0,1.0,2.0,80004.0
112,1228,Y,No,11.0,3.0,3.0,80.0,1.0,12.0,3.0,2.0,6.0,3.0,1.0,4.0,88548.0
113,1961,Y,No,14.0,3.0,1.0,80.0,0.0,20.0,3.0,2.0,1.0,0.0,0.0,0.0,34296.0
114,1678,Y,Yes,16.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,2.0,0.0,0.0,2.0,84984.0
115,1875,Y,No,19.0,3.0,4.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,34272.0
116,1981,Y,No,12.0,3.0,2.0,80.0,0.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,55404.0
117,2060,Y,No,18.0,3.0,4.0,80.0,0.0,5.0,2.0,3.0,4.0,2.0,0.0,0.0,35592.0
118,1544,Y,No,13.0,3.0,3.0,80.0,1.0,9.0,3.0,3.0,7.0,7.0,0.0,7.0,116580.0
119,1033,Y,No,15.0,3.0,1.0,80.0,0.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,57324.0
120,1032,Y,Yes,13.0,3.0,1.0,80.0,0.0,30.0,4.0,3.0,5.0,3.0,4.0,3.0,164712.0
121,527,Y,Yes,11.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,5.0,4.0,1.0,3.0,53844.0
122,1336,Y,No,14.0,3.0,4.0,80.0,1.0,23.0,5.0,3.0,19.0,9.0,9.0,11.0,230244.0
123,924,Y,Yes,17.0,3.0,1.0,80.0,1.0,17.0,2.0,2.0,16.0,8.0,4.0,11.0,79032.0
124,507,Y,Yes,12.0,3.0,4.0,80.0,1.0,5.0,2.0,4.0,5.0,2.0,0.0,3.0,51120.0
125,1627,Y,No,15.0,3.0,4.0,80.0,1.0,11.0,3.0,3.0,10.0,8.0,0.0,7.0,36828.0
126,758,Y,No,14.0,3.0,4.0,80.0,1.0,5.0,2.0,4.0,4.0,3.0,0.0,2.0,30000.0
127,1243,Y,Yes,11.0,3.0,2.0,80.0,1.0,16.0,6.0,2.0,13.0,2.0,4.0,12.0,124524.0
128,124,Y,Yes,13.0,3.0,3.0,80.0,1.0,21.0,5.0,2.0,10.0,9.0,9.0,5.0,128076.0
129,1441,Y,No,22.0,4.0,4.0,80.0,1.0,5.0,3.0,4.0,3.0,2.0,1.0,0.0,24792.0
130,1267,Y,No,11.0,3.0,3.0,80.0,1.0,26.0,5.0,3.0,22.0,9.0,3.0,10.0,218556.0
131,895,Y,Yes,19.0,3.0,2.0,80.0,1.0,8.0,2.0,3.0,6.0,4.0,0.0,2.0,28272.0
132,487,Y,No,14.0,3.0,3.0,80.0,0.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,63096.0
133,1162,Y,No,13.0,3.0,3.0,80.0,1.0,4.0,0.0,3.0,4.0,2.0,2.0,2.0,30468.0
134,2014,Y,No,13.0,3.0,1.0,80.0,0.0,18.0,2.0,3.0,7.0,7.0,1.0,7.0,49296.0
135,692,Y,No,23.0,4.0,3.0,80.0,1.0,15.0,2.0,1.0,13.0,11.0,4.0,7.0,92700.0
136,1783,Y,Yes,17.0,3.0,3.0,80.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,28776.0
137,1077,Y,Yes,14.0,3.0,2.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,27876.0
138,96,Y,No,17.0,3.0,2.0,80.0,2.0,10.0,3.0,3.0,10.0,4.0,0.0,9.0,74640.0
139,455,Y,No,17.0,3.0,3.0,80.0,0.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,47796.0
140,836,Y,No,13.0,3.0,4.0,80.0,1.0,10.0,3.0,2.0,9.0,8.0,7.0,8.0,53208.0
141,775,Y,No,14.0,3.0,3.0,80.0,1.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,61452.0
142,1425,Y,Yes,16.0,3.0,4.0,80.0,0.0,15.0,3.0,3.0,5.0,4.0,0.0,1.0,111336.0
143,498,Y,No,16.0,3.0,4.0,80.0,0.0,7.0,1.0,3.0,7.0,5.0,0.0,7.0,63036.0
144,36,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0,122976.0
145,1362,Y,No,16.0,3.0,4.0,80.0,1.0,17.0,2.0,2.0,15.0,7.0,6.0,13.0,55668.0
146,1669,Y,Yes,13.0,3.0,2.0,80.0,1.0,10.0,3.0,2.0,10.0,0.0,0.0,9.0,50244.0
147,1094,Y,No,19.0,3.0,4.0,80.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,55452.0
148,454,Y,Yes,11.0,3.0,4.0,80.0,0.0,7.0,4.0,2.0,7.0,7.0,0.0,7.0,25428.0
149,1251,Y,Yes,12.0,3.0,4.0,80.0,0.0,6.0,2.0,2.0,6.0,5.0,0.0,1.0,81996.0
150,207,Y,No,14.0,3.0,4.0,80.0,0.0,9.0,2.0,3.0,9.0,8.0,3.0,7.0,107976.0
151,1881,Y,No,11.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,8.0,0.0,2.0,50364.0
152,1611,Y,Yes,14.0,3.0,1.0,80.0,0.0,10.0,3.0,3.0,10.0,7.0,1.0,4.0,69228.0
153,933,Y,No,19.0,3.0,3.0,80.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,27816.0
154,56,Y,No,15.0,3.0,4.0,80.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,104712.0
155,505,Y,Yes,13.0,3.0,3.0,80.0,0.0,30.0,2.0,3.0,5.0,4.0,1.0,2.0,199908.0
156,463,Y,Yes,14.0,3.0,1.0,80.0,2.0,7.0,2.0,3.0,7.0,7.0,1.0,7.0,99216.0
157,1027,Y,No,18.0,3.0,2.0,80.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,50724.0
158,967,Y,Yes,11.0,3.0,1.0,80.0,1.0,16.0,6.0,3.0,16.0,7.0,3.0,7.0,123900.0
159,1088,Y,No,18.0,3.0,1.0,80.0,1.0,20.0,4.0,2.0,19.0,9.0,1.0,9.0,105876.0
160,446,Y,No,14.0,3.0,3.0,80.0,0.0,9.0,6.0,2.0,7.0,7.0,0.0,1.0,56184.0
161,233,Y,Yes,16.0,3.0,4.0,80.0,1.0,6.0,3.0,2.0,5.0,2.0,1.0,1.0,36696.0
162,1166,Y,No,17.0,3.0,3.0,80.0,0.0,20.0,3.0,2.0,18.0,7.0,2.0,13.0,161988.0
163,293,Y,No,14.0,3.0,4.0,80.0,0.0,7.0,2.0,3.0,7.0,7.0,0.0,7.0,119772.0
164,1847,Y,Yes,22.0,4.0,4.0,80.0,1.0,15.0,2.0,3.0,1.0,0.0,0.0,0.0,83544.0
165,1150,Y,Yes,15.0,3.0,3.0,80.0,1.0,10.0,2.0,2.0,10.0,7.0,1.0,2.0,60672.0
166,1601,Y,No,18.0,3.0,4.0,80.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,32280.0
167,306,Y,Yes,14.0,3.0,3.0,80.0,3.0,10.0,1.0,3.0,10.0,8.0,0.0,7.0,146220.0
168,1233,Y,Yes,18.0,3.0,2.0,80.0,1.0,12.0,3.0,3.0,11.0,7.0,1.0,9.0,62640.0
169,1970,Y,No,20.0,4.0,3.0,80.0,3.0,9.0,2.0,3.0,9.0,7.0,2.0,8.0,71616.0
170,397,Y,No,12.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,8.0,0.0,7.0,7.0,53820.0
171,730,Y,No,19.0,3.0,3.0,80.0,0.0,32.0,3.0,3.0,5.0,1.0,1.0,3.0,177768.0
172,107,Y,Yes,12.0,3.0,4.0,80.0,3.0,17.0,3.0,3.0,13.0,11.0,1.0,9.0,63948.0
173,1701,Y,No,12.0,3.0,2.0,80.0,0.0,10.0,3.0,3.0,10.0,9.0,8.0,7.0,35148.0
174,1466,Y,No,11.0,3.0,1.0,80.0,3.0,15.0,3.0,3.0,2.0,2.0,2.0,2.0,65832.0
175,39,Y,No,11.0,3.0,4.0,80.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,29952.0
176,145,Y,No,20.0,4.0,3.0,80.0,0.0,23.0,1.0,2.0,13.0,12.0,12.0,8.0,89808.0
177,458,Y,No,18.0,3.0,1.0,80.0,1.0,8.0,3.0,3.0,8.0,7.0,0.0,7.0,74568.0
178,23,Y,No,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,185124.0
179,83,Y,No,13.0,3.0,2.0,80.0,3.0,17.0,2.0,3.0,17.0,14.0,12.0,8.0,121152.0
180,844,Y,Yes,16.0,3.0,2.0,80.0,1.0,9.0,3.0,3.0,9.0,8.0,0.0,8.0,153696.0
181,1655,Y,No,16.0,3.0,2.0,80.0,2.0,27.0,2.0,3.0,4.0,2.0,1.0,2.0,196956.0
182,1308,Y,No,12.0,3.0,4.0,80.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,28464.0
183,1809,Y,No,15.0,3.0,2.0,80.0,0.0,10.0,4.0,1.0,10.0,3.0,0.0,8.0,50556.0
184,462,Y,Yes,14.0,3.0,3.0,80.0,0.0,11.0,2.0,2.0,11.0,9.0,4.0,10.0,85716.0
185,1676,Y,No,14.0,3.0,3.0,80.0,3.0,29.0,2.0,3.0,3.0,2.0,1.0,2.0,191664.0
186,1045,Y,No,13.0,3.0,2.0,80.0,1.0,26.0,4.0,4.0,9.0,3.0,1.0,1.0,211800.0
187,378,Y,No,14.0,3.0,2.0,80.0,1.0,7.0,5.0,4.0,5.0,4.0,0.0,1.0,78024.0
188,1167,Y,Yes,12.0,3.0,2.0,80.0,0.0,22.0,2.0,2.0,21.0,9.0,13.0,14.0,165096.0
189,1967,Y,Yes,11.0,3.0,3.0,80.0,0.0,10.0,4.0,3.0,10.0,7.0,0.0,8.0,67404.0
190,1774,Y,Yes,14.0,3.0,3.0,80.0,1.0,15.0,3.0,3.0,15.0,14.0,0.0,7.0,48012.0
191,2015,Y,No,12.0,3.0,1.0,80.0,1.0,20.0,3.0,3.0,18.0,16.0,1.0,11.0,158472.0
192,1193,Y,No,25.0,4.0,3.0,80.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,30624.0
193,1499,Y,No,21.0,4.0,1.0,80.0,1.0,6.0,3.0,4.0,5.0,3.0,1.0,3.0,24768.0
194,386,Y,Yes,16.0,3.0,4.0,80.0,3.0,21.0,5.0,2.0,5.0,3.0,1.0,3.0,211008.0
195,406,Y,No,15.0,3.0,3.0,80.0,2.0,12.0,3.0,2.0,11.0,9.0,6.0,9.0,96240.0
196,807,Y,No,24.0,4.0,4.0,80.0,1.0,8.0,2.0,3.0,8.0,7.0,3.0,7.0,50928.0
197,1873,Y,No,20.0,4.0,2.0,80.0,1.0,19.0,2.0,4.0,5.0,2.0,0.0,4.0,31944.0
198,1397,Y,No,21.0,4.0,2.0,80.0,1.0,13.0,2.0,3.0,6.0,4.0,0.0,5.0,131040.0
199,228,Y,No,12.0,3.0,3.0,80.0,1.0,12.0,2.0,3.0,10.0,9.0,7.0,4.0,113028.0
200,987,Y,Yes,19.0,3.0,3.0,80.0,0.0,20.0,3.0,4.0,19.0,10.0,2.0,7.0,60804.0
201,1698,Y,No,18.0,3.0,4.0,80.0,3.0,14.0,6.0,3.0,14.0,11.0,2.0,13.0,24336.0
202,1350,Y,Yes,11.0,3.0,2.0,80.0,0.0,9.0,3.0,3.0,9.0,6.0,1.0,1.0,50988.0
203,567,Y,No,11.0,3.0,3.0,80.0,0.0,10.0,3.0,3.0,9.0,8.0,7.0,8.0,100944.0
204,772,Y,No,15.0,3.0,4.0,80.0,2.0,10.0,2.0,3.0,10.0,8.0,4.0,7.0,63708.0
205,1854,Y,No,22.0,4.0,2.0,80.0,2.0,10.0,1.0,2.0,6.0,3.0,3.0,3.0,35232.0
206,799,Y,Yes,11.0,3.0,2.0,80.0,2.0,9.0,4.0,3.0,5.0,3.0,1.0,4.0,65820.0
207,21,Y,Yes,12.0,3.0,4.0,80.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0,39576.0
208,1515,Y,Yes,17.0,3.0,1.0,80.0,0.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,76656.0
209,475,Y,Yes,12.0,3.0,2.0,80.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,56832.0
210,1645,Y,Yes,14.0,3.0,4.0,80.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,65280.0
211,605,Y,Yes,21.0,4.0,4.0,80.0,1.0,10.0,5.0,2.0,10.0,9.0,5.0,8.0,88872.0
212,430,Y,No,19.0,3.0,1.0,80.0,0.0,9.0,5.0,3.0,8.0,7.0,1.0,7.0,29460.0
213,1240,Y,No,14.0,3.0,2.0,80.0,0.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,59400.0
214,110,Y,No,15.0,3.0,3.0,80.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,51900.0
215,238,Y,No,12.0,3.0,3.0,80.0,0.0,13.0,3.0,2.0,8.0,7.0,7.0,2.0,25056.0
216,738,Y,No,15.0,3.0,4.0,80.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,46500.0
